,0
1,30
2,35
3,38
4,34
5,42
6,38
7,34
8,41
9,28
10,27
11,16
12,21
13,24
14,29
15,16
16,15
17,14
18,24
19,30
20,27
21,26
22,25
23,24
24,24
25,26
26,26
27,21
28,28
29,28
30,26
31,23
32,30
33,24
34,21
35,19
36,19
37,28
38,27
39,27
40,31
41,30
42,26
43,21
44,21
45,28
46,24
47,23
48,22
49,29
50,28
51,18
52,15
53,18
54,24
55,17
56,22
57,23
58,28
59,25
60,18
61,15
62,14
63,26
64,22
65,27
66,27
67,34
68,32
69,33
70,32
71,26
72,33
73,38
74,38
75,45
76,42
77,41
78,38
79,37
80,39
81,34
82,36
83,33
84,41
85,31
86,38
87,32
88,31
89,28
90,29
91,32
92,21
93,28
94,32
95,31
96,22
97,32
98,28
99,30
100,31
101,28
102,28
103,21
104,20
105,23
106,24
107,23
108,34
109,30
110,27
111,23
112,28
113,35
114,41
115,35
116,35
117,44
118,36
119,35
120,43
121,28
122,32
123,33
124,34
125,28
126,27
127,26
128,36
129,35
130,34
131,37
132,38
133,42
134,44
135,34
136,36
137,40
138,35
139,42
140,41
141,34
142,32
143,30
144,27
145,31
146,34
147,27
148,31
149,36
150,35
151,28
152,26
153,28
154,31
155,32
156,29
157,32
158,34
159,31
160,32
161,30
162,33
163,30
164,32
165,37
166,34
167,35
168,35
169,38
170,33
171,27
172,26
173,31
174,35
175,40
176,35
177,41
178,41
179,47
180,41
181,39
182,46
183,33
184,35
185,42
186,35
187,39
188,34
189,36
190,25
191,29
192,26
193,31
194,32
195,28
196,33
197,30
198,28
199,29
200,24
201,33
202,34
203,31
204,30
205,28
206,35
207,23
208,23
209,24
210,28
211,22
212,24
213,26
214,31
215,25
216,25
217,28
218,26
219,26
220,38
221,39
222,42
223,35
224,37
225,35
226,23
227,24
228,29
229,29
230,30
231,27
232,30
233,28
234,38
235,34
236,36
237,32
238,35
239,26
240,23
241,24
242,29
243,24
244,37
245,36
246,35
247,35
248,29
249,38
250,36
251,36
252,37
253,28
254,29
255,35
256,29
257,23
258,29
259,36
260,23
261,22
262,22
263,19
264,25
265,32
266,27
267,27
268,23
269,19
270,30
271,29
272,31
273,31
274,29
275,27
276,30
277,38
278,25
279,25
280,32
281,36
282,30
283,39
284,33
285,28
286,33
287,30
288,34
289,36
290,36
291,40
292,42
293,35
294,34
295,31
296,25
297,35
298,29
299,31
300,32
301,34
302,41
303,30
304,23
305,26
306,27
307,29
308,31
309,28
310,30
311,28
312,26
313,28
314,31
315,38
316,38
317,39
318,41
319,39
320,41
321,38
322,41
323,36
324,37
325,25
326,23
327,29
328,30
329,34
330,22
331,24
332,20
333,26
334,34
335,30
336,28
337,25
338,30
339,26
340,33
341,40
342,34
343,34
344,32
345,34
346,33
347,32
348,33
349,31
350,29
351,33
352,34
353,31
354,31
355,30
356,37
357,38
358,40
359,40
360,29
361,31
362,33
363,41
364,33
365,39
366,44
367,45
368,35
369,37
370,42
371,40
372,39
373,41
374,34
375,31
376,32
377,37
378,33
379,38
380,32
381,38
382,35
383,35
384,33
385,36
386,29
387,32
388,35
389,34
390,36
391,35
392,33
393,31
394,27
395,29
396,32
397,31
398,31
399,29
400,33
