id,count
1,18
2,2
3,2
4,22
5,22
6,2
7,15
8,18
9,9
10,12
11,8
12,8
13,14
14,16
15,6
16,8
17,8
18,14
19,15
20,16
21,16
22,11
23,14
24,14
25,11
26,1
27,12
28,8
29,15
30,15
31,12
32,12
33,1
34,7
35,7
36,14
37,12
38,1
39,14
40,13
41,13
42,11
43,11
44,9
45,13
46,11
47,11
48,1
49,11
50,11
51,1
52,6
53,11
54,1
55,11
56,15
57,13
58,16
59,15
60,5
61,3
62,5
63,11
64,1
65,18
66,14
67,17
68,17
69,16
70,16
71,13
72,16
73,18
74,19
75,21
76,17
77,19
78,19
79,18
80,16
81,21
82,21
83,24
84,27
85,16
86,16
87,18
88,16
89,17
90,13
91,15
92,11
93,15
94,15
95,2
96,13
97,19
98,14
99,18
100,14
101,17
102,16
103,1
104,9
105,8
106,11
107,12
108,2
109,15
110,13
111,8
112,15
113,22
114,15
115,2
116,16
117,21
118,26
119,23
120,25
121,21
122,23
123,25
124,16
125,15
126,12
127,15
128,17
129,17
130,17
131,18
132,19
133,25
134,25
135,14
136,17
137,19
138,17
139,15
140,17
141,25
142,19
143,14
144,18
145,18
146,19
147,12
148,18
149,25
150,2
151,19
152,15
153,18
154,12
155,13
156,13
157,16
158,19
159,17
160,17
161,17
162,17
163,18
164,15
165,18
166,18
167,21
168,21
169,25
170,17
171,12
172,16
173,18
174,19
175,21
176,21
177,18
178,25
179,16
180,23
181,29
182,25
183,21
184,15
185,21
186,22
187,24
188,19
189,2
190,13
191,13
192,14
193,14
194,15
195,17
196,18
197,2
198,16
199,16
200,14
201,16
202,15
203,13
204,12
205,13
206,15
207,14
208,14
209,14
210,11
211,18
212,16
213,16
214,17
215,16
216,14
217,18
218,15
219,13
220,18
221,24
222,19
223,19
224,22
225,2
226,17
227,13
228,17
229,19
230,18
231,1
232,16
233,16
234,17
235,19
236,1
237,15
238,16
239,12
240,11
241,13
242,15
243,14
244,2
245,12
246,19
247,16
248,17
249,17
250,18
251,19
252,2
253,17
254,23
255,22
256,13
257,17
258,19
259,16
260,11
261,8
262,9
263,9
264,12
265,17
266,19
267,1
268,13
269,8
270,12
271,14
272,16
273,13
274,1
275,14
276,14
277,21
278,18
279,14
280,17
281,23
282,22
283,18
284,16
285,17
286,15
287,12
288,16
289,13
290,12
291,18
292,22
293,16
294,17
295,17
296,13
297,16
298,19
299,19
300,23
301,22
302,18
303,18
304,6
305,13
306,15
307,12
308,13
309,14
310,18
311,17
312,21
313,13
314,14
315,2
316,18
317,17
318,17
319,22
320,23
321,22
322,24
323,19
324,15
325,13
326,14
327,16
328,17
329,18
330,1
331,9
332,11
333,17
334,22
335,13
336,1
337,12
338,13
339,11
340,11
341,14
342,16
343,18
344,15
345,1
346,12
347,15
348,19
349,15
350,13
351,16
352,16
353,17
354,16
355,16
356,19
357,24
358,16
359,19
360,12
361,13
362,7
363,17
364,18
365,24
366,19
367,22
368,15
369,17
370,18
371,15
372,16
373,18
374,14
375,12
376,12
377,13
378,11
379,16
380,12
381,14
382,17
383,13
384,13
385,16
386,16
387,19
388,14
389,17
390,17
391,13
392,14
393,13
394,14
395,12
396,14
397,18
398,14
399,15
400,12
